"simID","areaName","scenario","mgmt","cropped","spinup","fire","BDA","wind","harvest","replicate"
"00","ForMont","baseline","CPRS",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,1
"01","ForMont","RCP45","CPRS",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,1
"02","ForMont","RCP85","CPRS",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,1
"03","ForMont","baseline","CPI-CP",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,1
"04","ForMont","RCP45","CPI-CP",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,1
"05","ForMont","RCP85","CPI-CP",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,1
"06","ForMont","baseline","noHarvest",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,1
"07","ForMont","RCP45","noHarvest",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,1
"08","ForMont","RCP85","noHarvest",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,1
"09","ForMont","baseline","CPRS",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,2
"10","ForMont","RCP45","CPRS",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,2
"11","ForMont","RCP85","CPRS",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,2
"12","ForMont","baseline","CPI-CP",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,2
"13","ForMont","RCP45","CPI-CP",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,2
"14","ForMont","RCP85","CPI-CP",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,2
"15","ForMont","baseline","noHarvest",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,2
"16","ForMont","RCP45","noHarvest",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,2
"17","ForMont","RCP85","noHarvest",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,2
"18","ForMont","baseline","CPRS",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,3
"19","ForMont","RCP45","CPRS",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,3
"20","ForMont","RCP85","CPRS",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,3
"21","ForMont","baseline","CPI-CP",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,3
"22","ForMont","RCP45","CPI-CP",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,3
"23","ForMont","RCP85","CPI-CP",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,3
"24","ForMont","baseline","noHarvest",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,3
"25","ForMont","RCP45","noHarvest",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,3
"26","ForMont","RCP85","noHarvest",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,3
"27","ForMont","baseline","CPRS",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,4
"28","ForMont","RCP45","CPRS",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,4
"29","ForMont","RCP85","CPRS",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,4
"30","ForMont","baseline","CPI-CP",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,4
"31","ForMont","RCP45","CPI-CP",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,4
"32","ForMont","RCP85","CPI-CP",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,4
"33","ForMont","baseline","noHarvest",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,4
"34","ForMont","RCP45","noHarvest",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,4
"35","ForMont","RCP85","noHarvest",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,4
"36","ForMont","baseline","CPRS",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,5
"37","ForMont","RCP45","CPRS",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,5
"38","ForMont","RCP85","CPRS",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,5
"39","ForMont","baseline","CPI-CP",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,5
"40","ForMont","RCP45","CPI-CP",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,5
"41","ForMont","RCP85","CPI-CP",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,5
"42","ForMont","baseline","noHarvest",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,5
"43","ForMont","RCP45","noHarvest",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,5
"44","ForMont","RCP85","noHarvest",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,5
